fecha,producto,categoria,cantidad,precio_unitario,total,ciudad,metodo_pago
2024-04-12,Shampoo 400ml,Salud y belleza,4,8.05,32.2,Ciudad de México,Efectivo
2024-03-12,Refresco cola 2L,Bebidas,2,2.24,4.48,Querétaro,Tarjeta crédito
2025-04-11,Protector solar,Salud y belleza,1,17.16,17.16,Monterrey,Billetera digital
2025-01-07,Auriculares,Tecnología,2,87.3,174.6,Ciudad de México,Tarjeta crédito
2025-10-23,Refresco cola 2L,Bebidas,1,7.44,7.44,Sevilla,Billetera digital
2025-02-17,Galletas,Alimentos,1,3.16,3.16,Tijuana,Billetera digital
2024-10-03,Mouse inalámbrico,Tecnología,2,76.51,153.02,Barcelona,Billetera digital
2024-09-09,Detergente 1L,Hogar,1,5.95,5.95,Mérida,Transferencia
2024-02-28,Esponjas x3,Hogar,1,1.79,1.79,Querétaro,Tarjeta débito
2025-11-30,Detergente 1L,Hogar,1,8.75,8.75,Monterrey,Transferencia
2025-11-17,Aceite de oliva 500ml,Alimentos,2,5.33,10.66,Santiago,Billetera digital
2024-08-31,Detergente 1L,Hogar,2,1.79,3.58,Barcelona,Billetera digital
2025-10-08,Café molido 250g,Alimentos,1,1.9,1.9,Monterrey,Billetera digital
2025-01-22,Bolsas de basura 30u,Hogar,7,10.58,74.06,Santiago,Billetera digital
2026-02-15,Agua 1.5L,Bebidas,1,2.92,2.92,Guadalajara,Tarjeta débito
2024-04-01,Detergente 1L,Hogar,1,3.07,3.07,León,Tarjeta crédito
2025-05-23,Teclado,Tecnología,4,27.42,109.68,Barcelona,Efectivo
2024-03-21,Jugo naranja 1L,Bebidas,1,6.9,6.9,Santiago,Tarjeta débito
2024-01-02,Desodorante,Salud y belleza,1,8.86,8.86,Monterrey,Billetera digital
2026-02-10,Crema hidratante,Salud y belleza,1,34.0,34.0,León,Tarjeta débito
2025-12-30,Power bank 10k,Tecnología,1,52.26,52.26,Bogotá,Billetera digital
2024-09-26,Jugo naranja 1L,Bebidas,3,3.8,11.4,Guadalajara,Tarjeta débito
2025-04-06,Aceite de oliva 500ml,Alimentos,1,1.69,1.69,Buenos Aires,Efectivo
2024-10-22,Pasta 500g,Alimentos,5,9.27,46.35,Lima,Tarjeta débito
2024-02-22,Pasta dental,Salud y belleza,2,33.85,67.7,Buenos Aires,Transferencia
2024-07-06,Jugo naranja 1L,Bebidas,2,2.1,4.2,Querétaro,Tarjeta débito
2024-01-15,Protector solar,Salud y belleza,1,2.52,2.52,Bogotá,Billetera digital
2025-06-04,Cable USB-C,Tecnología,3,30.26,90.78,Buenos Aires,Efectivo
2025-04-16,Refresco cola 2L,Bebidas,1,2.63,2.63,Sevilla,Transferencia
2025-01-26,Arroz 1kg,Alimentos,3,9.53,28.59,Puebla,Tarjeta débito
2026-02-11,Crema hidratante,Salud y belleza,7,23.49,164.43,Madrid,Billetera digital
2024-01-28,Café molido 250g,Alimentos,5,7.93,39.65,Buenos Aires,Billetera digital
2024-02-02,Cable USB-C,Tecnología,1,42.83,42.83,Bogotá,Billetera digital
2025-12-28,Atún en lata,Alimentos,2,7.59,15.18,Puebla,Billetera digital
2025-12-26,Esponjas x3,Hogar,5,9.03,45.15,Puebla,Efectivo
2025-09-04,Mouse inalámbrico,Tecnología,9,103.08,927.72,Barcelona,Tarjeta crédito
2024-01-05,Desodorante,Salud y belleza,2,27.44,54.88,Sevilla,Tarjeta débito
2025-01-27,Camiseta,Ropa,3,13.32,39.96,Medellín,Billetera digital
2025-04-05,Pantalón,Ropa,1,72.18,72.18,Querétaro,Efectivo
2024-08-28,Té helado 500ml,Bebidas,1,5.48,5.48,Sevilla,Tarjeta crédito
2026-01-03,Sudadera,Ropa,1,50.33,50.33,Valencia,Tarjeta crédito
2025-10-16,Aceite de oliva 500ml,Alimentos,3,3.67,11.01,Medellín,Tarjeta débito
